Name ,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
Khwajabahawuddin,66.48594982,89.36192062,117.3150319,147.6102901,177.2036774,204.5820634,228.5205341,248.7220501,264.7660914,275.8808592
Yang-e-Qala,60.59884402,80.3578764,104.1033582,129.5788726,154.259791,176.9421633,196.7091176,213.3691258,226.5631181,235.6690156
Yaftal-e-Sufla,64.16771983,84.28492949,108.391448,134.073557,158.77707,181.3236661,200.7848807,216.8693383,229.2532512,237.4003539
Kohestan,18.38871632,23.88794147,30.42643192,37.33341355,43.93489042,49.92385995,55.0655342,59.27375655,62.46379041,64.50242184
Khash,21.0966463,24.18226987,27.54830521,30.84109459,33.76725769,36.26747067,38.29382308,39.66709673,40.31839801,40.27169795
Baharak,86.74512446,114.2517966,147.43681,183.0316941,217.4829103,249.1187565,276.5635935,299.4208244,317.2172564,329.129359
Keshem,28.7583575,36.28190896,45.15904906,54.48224109,63.35632001,71.38074086,78.25855236,83.81493577,87.92623579,90.43085316
Dara-e Suf-e-Bala,25.17070873,31.40874867,38.7345971,46.40759078,53.68041939,60.23509678,65.8255212,70.30284007,73.56029278,75.47504785
Aybak,54.37899631,71.92152194,93.1117462,115.8635607,137.9130188,158.18486,175.791085,190.5043105,202.0162147,209.7982001
Yamgan,16.51973787,17.26019984,18.03151082,18.74753352,19.35995735,19.86271172,20.25407464,20.32716444,20.0127455,19.36849946
